name,price,Brand,link,
"Y3  4.0\  4 GB  512 MB RAM  1.3 GHz QuadCore  5 MP Camera  Black (Brand Warranty)""",†7450,Huawei†,https://www.daraz.pk/y3-4.0-4-gb-512-mb-ram-5-mp-camera-black-brand-warranty-huawei-mpg8007.html,
"Y3  4.0\  4 GB  512 MB RAM  1.3 GHz QuadCore  5 MP Camera  White (Brand Warranty)""",†7450,Huawei†,https://www.daraz.pk/y3-4.0-4-gb-512-mb-ram-5-mp-camera-white-brand-warranty-huawei-mpg8008.html,
"RM941 Lumia 625  4.7\  8 GB HDD  512 MB RAM  1.2 GHz Dualcore  5 MP Camera  White (Brand Warranty)""",†19990,Microsoft†,https://www.daraz.pk/rm-941-lumia-625-4.7-8-gb-hdd-512-mb-ram-1.2-ghz-dual-core-5-mp-camera-white-brand-warranty-microsoft-mpg4790.html,
Honor 3C Lite  Dual Sim  5.0î  16 GB  1 GB RAM  8 MP Camera  Black (Brand Warranty),†14400,Huawei†,https://www.daraz.pk/honor-3c-lite-5.0-16-gb-hdd-1-gb-ram-8-mp-camera-black-brand-warranty-huawei-mpg157.html,
"Y5  4.5\  8 GB  1 GB RAM  1.2 GHz Quad Core  8 MP Camera  Black (Brand Warranty)""",†8850,Huawei†,https://www.daraz.pk/y5-4.5-8-gb-1-gb-ram-1.2-ghz-quad-core-8-mp-camera-black-brand-warranty-huawei-mpg3874.html,
Honor 3C Lite  Dual Sim  5.0î  16 GB  1 GB RAM  8 MP Camera  White (Brand Warranty),†14400,Huawei†,https://www.daraz.pk/honor-3c-lite-5.0-16-gb-hdd-1-gb-ram-8-mp-camera-white-brand-warranty-huawei-mpg159.html,
E75  2.4''  85 MB HDD  3.2 MP Camera  Red,†9500,Nokia†,https://www.daraz.pk/e75-2.4-85-mb-hdd-3.2-mp-camera-red-nokia-mpg33547.html,
SMG530H  Grand Prime  5.0î  8 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  White (Brand Warranty),†17450,Samsung†,https://www.daraz.pk/sm-g530h-grand-prime-5.0-8-gb-hdd-1-gb-ram-8-mp-camera-white-brand-warranty-samsung-mpg155.html,
"I9300I  Galaxy S3 Neo  4.8\  16 GB  1.5 GB RAM  1.2 Ghz Quadcore  8 MP  White (Brand Warranty)""",†23999,Samsung†,https://www.daraz.pk/i9300i-galaxy-s3-neo-4.8-16-gb-hdd-1.5-gb-ram-8-mp-camera-white-brand-warranty-samsung-mpg97.html,
"T20 Tab  7\  8GB  512 MB RAM  5 MP Camera  1 GHz Dualcore  WiFi  Black (Brand Warranty)""",†9000,Mmobile†,https://www.daraz.pk/mmobile-t20-tab-7-8gb-512-mb-ram-5-mp-camera-1-ghz-dual-core-wi-fi-black-brand-warranty-5328888.html,
"Mate S  5.5\  64GB  3GB RAM  2.2 Octa Core Processor  13 MP Camera  Gold (Brand Warranty)""",†61600,Huawei†,https://www.daraz.pk/mate-s-5.5-64gb-3gb-ram-2.2-octa-core-processor-13-mp-camera-gold-brand-warranty-huawei-mpg12110.html,
"P10i  4\  4GB  512 MB RAM  5 MP Camera  1.2 GHz Dualcore  Black (Brand Warranty)""",†7950,Mmobile†,https://www.daraz.pk/mmobile-p10i-4-4gb-512-mb-ram-5-mp-camera-1.2-ghz-dual-core-black-brand-warranty-5329721.html,
"P12  4.5\  4GB  512 MB RAM  5 MP Camera  1.2 GHz Dualcore  Black (Brand Warranty)""",†8500,Mmobile†,https://www.daraz.pk/mmobile-p12-4.5-4gb-512-mb-ram-5-mp-camera-1.2-ghz-dual-core-black-brand-warranty-5329720.html,
